timeStamp,elapsed,label,responseCode,responseMessage,threadName,success,bytes,sentBytes,grpThreads,allThreads,Latency,Hostname,Connect
1548168553666,7334000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168553666,53884,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168554668,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168554668,40304,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168554668,7991000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168554669,50877,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168555669,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168555670,40304,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168555670,11644000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168555670,50753,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168556670,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168556671,40304,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168556671,9512000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168556671,50995,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168557672,-1996,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168557673,40304,150.128.97.79 Memory,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168557673,6682000,150.128.97.79 Network I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168557673,51000,150.128.97.79 CPU,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
1548168558673,-2000,150.128.97.79 Disks I/O,,,,true,0,0,0,0,0,DESKTOP-PNUP7SF,0
